a	a
biao1	蔈
biao1	藨
biao1	虨
biao1	謤
biao1	贆
biao1	鏢
biao1	鑣
biao1	颩
biao1	颮
biao1	颷
biao1	飆
biao1	飇
biao1	飈
biao1	飊
biao1	飍
biao1	驫
biao1	髟
biao1	麃
biao1	𢖐
biao3	俵
biao3	婊
biao3	檦
biao3	表
biao3	裱
biao3	褾
biao3	諘
biao3	錶
biao4	*摽
biao4	鰾
bie1	*癟
bie1	*鷩
bie1	㿜
bie1	憋
bie1	虌
bie1	鱉
bie1	鼈
bie1	龞
bie2	*彆
bie2	*蛂
bie2	㧙
bie2	別
bie2	别
bie2	吡
bie2	咇
bie2	徶
bie2	莂
bie2	蟞
bie2	襒
bie2	蹩
bie3	㿜
bie3	癟
bie3	蛂
bie4	*蹩
bie4	彆
bie4	縪
bin1	*份
bin1	*嬪
bin1	*攽
bin1	*玢
bin1	*砏
bin1	*稟
bin1	*郴
bin1	*鬢
bin1	㻞
bin1	儐
bin1	娦
bin1	彬
bin1	斌
bin1	梹
bin1	椕
bin1	檳
bin1	殡
bin1	殯
bin1	汃
bin1	浜
bin1	滨
bin1	濱
bin1	濵
bin1	瀕
bin1	璸
bin1	禀
bin1	穦
bin1	繽
bin1	虨
bin1	蠙
bin1	豩
bin1	豳
bin1	賓
bin1	賔
bin1	邠
bin1	鑌
bin1	霦
bin1	顮
bin1	馪
bin1	驞
bin1	髩
bin1	鬂
bin1	𠚼
bin3	*稟
bin3	癛
bin3	禀
bin4	*賓
bin4	儐
bin4	擯
bin4	殡
bin4	殯
bin4	臏
bin4	賔
bin4	髕
bin4	髩
bin4	鬂
bin4	鬢
bin4	鶣
bing1	*屏
bing1	*檳
bing1	仌
bing1	兵
bing1	冰
bing1	屛
bing1	幈
bing1	并
bing1	幷
bing1	掤
bing1	栟
bing1	梹
bing1	氷
bing3	*屏
bing3	*芮
bing3	丙
bing3	屛
bing3	幈
bing3	庰
bing3	怲
bing3	抦
bing3	昞
bing3	昺
bing3	柄
bing3	棅
bing3	炳
bing3	眪
bing3	禀
bing3	秉
bing3	稟
bing3	窉
bing3	苪
bing3	蛃
bing3	迸
bing3	逬
bing3	邴
bing3	鉼
bing3	陃
bing3	鞞
bing3	餅
bing3	餜
bing3	餠
bing4	*幵
bing4	*庰
bing4	*柄
bing4	*窉
bing4	㓈
bing4	並
bing4	併
bing4	倂
bing4	偋
bing4	傡
bing4	寎
bing4	并
bing4	幷
bing4	开
bing4	抦
bing4	摒
bing4	栤
bing4	棅
bing4	病
bing4	竝
bing4	逬
bing4	鈵
bing4	靐
bing4	鮩
bing4	鵧
bing4	𢔧
bo1	*般
bo1	㿺
bo1	剝
bo1	剥
bo1	啵
bo1	岥
bo1	嶓
bo1	撥
bo1	播
bo1	柭
bo1	波
bo1	玻
bo1	癶
bo1	盋
bo1	砵
bo1	碆
bo1	紴
bo1	缽
bo1	肑
bo1	菠
bo1	袚
bo1	襏
bo1	蹳
bo1	鉢
bo1	餑
bo1	驋
bo1	鮁
bo1	鱍
bo2	*佰
bo2	*孛
bo2	*悖
bo2	*摶
bo2	*洎
bo2	*爆
bo2	*瓝
bo2	*白
bo2	*百
bo2	*簿
bo2	*缽
bo2	*菔
bo2	*菝
bo2	*菠
bo2	*襏
bo2	*貊
bo2	*鈸
bo2	*雹
bo2	㩧
bo2	㫲
bo2	㶿
bo2	㼎
bo2	䗚
bo2	䭯
bo2	伯
bo2	侼
bo2	僰
bo2	勃
bo2	博
bo2	叐
bo2	妭
bo2	帛
bo2	愂
bo2	愽
bo2	懪
bo2	挬
bo2	搏
bo2	敀
bo2	柏
bo2	栢
bo2	桲
bo2	欂
bo2	泊
bo2	洦
bo2	浡
bo2	渤
bo2	湐
bo2	濼
bo2	煿
bo2	牔
bo2	犮
bo2	犻
bo2	猼
bo2	盋
bo2	礡
bo2	箔
bo2	簙
bo2	糪
bo2	胉
bo2	脖
bo2	膊
bo2	舶
bo2	艊
bo2	苩
bo2	荸
bo2	葧
bo2	蔔
bo2	薄
bo2	襮
bo2	謈
bo2	貃
bo2	踄
bo2	踣
bo2	軷
bo2	郣
bo2	鉑
bo2	鉢
bo2	鋍
bo2	鎛
bo2	鏄
bo2	鑮
bo2	餑
bo2	餺
bo2	馛
bo2	馞
bo2	駁
bo2	駮
bo2	髆
bo2	髉
bo2	鮊
bo2	鵓
bo2	鸔
bo3	簸
bo3	蚾
bo3	跛
bo4	*北
bo4	*畚
bo4	*簸
bo4	*薄
bo4	*鄱
bo4	亳
bo4	奙
bo4	孹
bo4	挀
bo4	播
bo4	擘
bo4	檗
bo4	檘
bo4	蔢
bo4	薜
bo4	蘗
bo4	襎
bo4	譒
bo5	*啵
bo5	*膊
bo5	菔
bo5	蔔
bu1	*不
bu1	峬
bu1	庯
bu1	晡
bu1	逋
bu1	陠
bu1	餔
bu1	鯆
bu1	鵏
bu2	不
bu2	醭
bu3	*訃
bu3	卜
bu3	哺
bu3	埔
bu3	捕
bu3	獛
bu3	補
bu3	轐
bu3	鳪
bu4	*哺
bu4	*抪
bu4	*捕
bu4	*阜
bu4	*陟
bu4	*餔
bu4	㳍
bu4	不
bu4	佈
bu4	咘
bu4	埠
bu4	布
bu4	廍
bu4	徏
bu4	怖
bu4	悑
bu4	捗
bu4	柨
bu4	步
bu4	歨
bu4	歩
bu4	篰
bu4	簿
bu4	荹
bu4	蔀
bu4	部
bu4	郶
bu4	鈽
bu4	陠
bu4	餢
bu5	*不
ca1	䃰
ca1	嚓
ca1	搽
ca1	擦
ca3	礤
ca4	*攃
ca4	囃
ca4	遪
cai1	猜
cai2	才
cai2	材
cai2	溨
cai2	纔
cai2	裁
cai2	財
cai2	釮
cai3	*寀
cai3	倸
cai3	啋
cai3	婇
cai3	彩
cai3	採
cai3	棌
cai3	睬
cai3	綵
cai3	跐
cai3	跴
cai3	踩
cai3	釆
cai3	采
cai4	*寀
cai4	*采
cai4	埰
cai4	縩
cai4	菜
cai4	蔡
can1	*毿
can1	*磣
can1	*鏒
can1	*鬖
can1	䱗
can1	傪
can1	叁
can1	参
can1	參
can1	叅
can1	墋
can1	曑
can1	湌
can1	縿
can1	襂
can1	贂
can1	飡
can1	餐
can1	驂
can2	*蛬
can2	*魙
can2	㨻
can2	嬠
can2	嬱
can2	帴
can2	慙
can2	慚
can2	残
can2	殘
can2	蝅
can2	蠶
can2	蠺
can3	噆
can3	惨
can3	慘
can3	憯
can3	朁
can3	黲
can4	*孱
can4	*摻
can4	*澶
can4	嘇
can4	掺
can4	撡
can4	澯
can4	燦
can4	璨
can4	粲
can4	薒
can4	謲
cang1	*愴
cang1	*瑲
cang1	*謒
cang1	*蹌
cang1	仺
cang1	倉
cang1	傖
cang1	凔
cang1	嵢
cang1	滄
cang1	篬
cang1	艙
cang1	蒼
cang1	鶬
cang2	匨
cang2	蔵
cang2	藏
cang2	鑶
cang3	*駔
cang4	䅮
cang4	賶
cao1	*幧
cao1	劋
cao1	喿
cao1	撡
cao1	操
cao1	矂
cao1	糙
cao1	鄵
cao1	鐰
cao2	嘈
cao2	嶆
cao2	曹
cao2	槽
cao2	漕
cao2	艚
cao2	蓸
cao2	螬
cao2	褿
cao2	鏪
cao2	鰽
cao3	愺
cao3	慅
cao3	懆
cao3	艸
cao3	艹
cao3	草
cao3	騲
cao4	*慥
cao4	*操
cao4	*造
cao4	*鄵
cao4	糙
cao4	肏
cao4	艁
cao4	襙
ce4	*簎
ce4	*鍘
ce4	㩞
ce4	側
ce4	冊
ce4	册
ce4	厠
ce4	墄
ce4	嫧
ce4	廁
ce4	惻
ce4	憡
ce4	拺
ce4	敇
ce4	測
ce4	畟
ce4	矠
ce4	笧
ce4	策
ce4	筞
ce4	筴
ce4	箣
ce4	粣
ce4	茦
ce4	萗
ce4	蓛
cen1	*參
cen1	叁
cen1	参
cen1	叅
cen1	嵾
cen1	曑
cen1	梫
cen2	侺
cen2	埁
cen2	岑
cen2	梣
cen2	汵
cen2	涔
cen2	笒
cen2	筨
ceng1	噌
ceng2	層
ceng2	嶒
ceng2	曾
ceng2	碀
ceng2	竲
ceng2	鄫
ceng2	驓
ceng3	噌
ceng4	蹭
cha1	*喳
cha1	*槎
cha1	*鍤
cha1	偛
cha1	叉
cha1	嗏
cha1	差
cha1	扠
cha1	挿
cha1	插
cha1	揷
cha1	杈
cha1	溠
cha1	疀
cha1	肞
cha1	臿
cha1	艖
cha1	芆
cha1	訍
cha1	銟
cha1	鎈
cha1	餷
cha2	*叉
cha2	*嚓
cha2	*岔
cha2	*蹅
cha2	䠡
cha2	垞
cha2	察
cha2	搽
cha2	摖
cha2	查
cha2	査
cha2	楂
cha2	槎
cha2	檫
cha2	櫒
cha2	碴
cha2	秅
cha2	臿
cha2	茶
cha2	褨
cha2	詧
cha2	鍤
cha3	*叉
cha3	蹅
cha3	鑔
cha4	*差
cha4	*蜡
cha4	䟕
cha4	仛
cha4	侘
cha4	刹
cha4	剎
cha4	奼
cha4	姹
cha4	岔
cha4	杈
cha4	汊
cha4	紁
cha4	衩
cha4	訍
cha4	詫
chai1	*差
chai1	偨
chai1	拆
chai1	釵
chai1	靫
chai2	*砦
chai2	*茈
chai2	儕
chai2	喍
chai2	柴
chai2	犲
chai2	祡
chai2	豺
chai2	釮
chai3	*冊
chai3	册
chai3	笧
chai3	茝
chai4	*差
chai4	囆
chai4	瘥
chai4	蠆
chai4	袃
chai4	訍
chan1	嬓
chan1	幨
chan1	惉
chan1	掺
chan1	摻
chan1	撡
chan1	攙
chan1	梴
chan1	脠
chan1	袩
chan1	裧
chan1	襜
chan1	辿
chan1	鋓
chan2	*厘
chan2	*單
chan2	*嶄
chan2	*樼
chan2	*繵
chan2	僝
chan2	儃
chan2	劖
chan2	单
chan2	単
chan2	婵
chan2	嬋
chan2	孱
chan2	嶃
chan2	巉
chan2	廛
chan2	棎
chan2	欃
chan2	毚
chan2	湹
chan2	潹
chan2	潺
chan2	澶
chan2	瀍
chan2	瀺
chan2	煘
chan2	獑
chan2	磛
chan2	禪
chan2	緾
chan2	纏
chan2	纒
chan2	艬
chan2	虥
chan2	蟬
chan2	蟮
chan2	蟺
chan2	蟾
chan2	誗
chan2	讒
chan2	躔
chan2	轏
chan2	鄽
chan2	酁
chan2	鋋
chan2	鏩
chan2	鑱
chan2	饞
chan3	丳
chan3	剗
chan3	剷
chan3	嘽
chan3	囅
chan3	嵼
chan3	幝
chan3	摌
chan3	旵
chan3	滻
chan3	灛
chan3	燀
chan3	產
chan3	産
chan3	簅
chan3	繟
chan3	蕆
chan3	諂
chan3	譂
chan3	讇
chan3	醦
chan3	鏟
chan3	閳
chan3	闡
chan3	驏
chan4	*丳
chan4	*讖
chan4	*顫
chan4	儳
chan4	嚵
chan4	懺
chan4	硟
chan4	羼
chan4	韂
chang1	䮖
chang1	䱽
chang1	倀
chang1	倡
chang1	娼
chang1	昌
chang1	晿
chang1	淐
chang1	猖
chang1	琩
chang1	菖
chang1	裮
chang1	錩
chang1	閶
chang1	鯧
chang1	鱂
chang1	鼚
chang2	*場
chang2	仧
chang2	償
chang2	兏
chang2	嘗
chang2	嚐
chang2	塲
chang2	嫦
chang2	常
chang2	徜
chang2	瑺
chang2	瓺
chang2	甞
chang2	粻
chang2	腸
chang2	膓
chang2	萇
chang2	裳
chang2	鋿
chang2	鏛
chang2	長
chang2	镸
chang2	鱨
chang3	僘
chang3	厰
chang3	場
chang3	塲
chang3	廠
chang3	惝
chang3	敞
chang3	昶
chang3	氅
chang3	鋹
chang4	*瑒
chang4	倡
chang4	唱
chang4	悵
chang4	暢
chang4	畼
chang4	誯
chang4	韔
chang4	鬯
chao1	*摷
chao1	䫿
chao1	剿
chao1	勦
chao1	弨
chao1	怊
chao1	抄
chao1	欩
chao1	罺
chao1	訬
chao1	超
chao1	鈔
chao2	*剿
chao2	*勦
chao2	*啁
chao2	*晁
chao2	*漅
chao2	*璅
chao2	䄻
chao2	嘲
chao2	巢
chao2	巣
chao2	朝
chao2	樔
chao2	潮
chao2	謿
chao2	轈
chao2	鄛
chao2	鼂
chao3	*赻
chao3	㥮
chao3	吵
chao3	巐
chao3	炒
chao3	煼
chao3	眧
chao3	粆
chao3	麨
chao4	*趠
chao4	*鈔
chao4	䮓
chao4	仦
chao4	仯
chao4	耖
chao4	觘
che1	俥
che1	唓
che1	硨
che1	莗
che1	蛼
che1	車
che3	*哆
che3	*尺
che3	*拸
che3	偖
che3	奲
che3	扯
che3	撦
che4	*拆
che4	*鮿
che4	㿭
che4	勶
che4	呫
che4	坼
che4	屮
che4	徹
che4	掣
che4	撤
che4	澈
che4	爡
che4	瞮
che4	硩
che4	轍
che4	迠
che4	頙
chen1	*抻
chen1	*綝
chen1	嗔
chen1	堔
chen1	捵
chen1	搷
chen1	棽
chen1	琛
chen1	瞋
chen1	諃
chen1	謓
chen1	賝
chen1	郴
chen2	*侲
chen2	*娠
chen2	*岒
chen2	*抌
chen2	*挋
chen2	*敶
chen2	*桭
chen2	*梣
chen2	*橙
chen2	*脤
chen2	*蜃
chen2	*鋠
chen2	伔
chen2	塵
chen2	宸
chen2	尘
chen2	忱
chen2	愖
chen2	敐
chen2	晨
chen2	曟
chen2	栕
chen2	樄
chen2	沈
chen2	沉
chen2	煁
chen2	燛
chen2	牨
chen2	瘎
chen2	臣
chen2	臦
chen2	茞
chen2	莀
chen2	莐
chen2	蔯
chen2	薼
chen2	蜄
chen2	螴
chen2	訦
chen2	誫
chen2	諶
chen2	軙
chen2	辰
chen2	迧
chen2	鈂
chen2	陳
chen2	霃
chen2	鷐
chen2	麎
chen3	*祳
chen3	墋
chen3	夦
chen3	捵
chen3	硶
chen3	磣
chen3	裖
chen3	謲
chen3	贂
chen3	趻
chen3	踸
chen3	鍖
chen4	*稱
chen4	*闖
chen4	䚀
chen4	儭
chen4	嚫
chen4	櫬
