ㄅㄥˋ	逬
ㄅㄧ	偪
ㄅㄧ	屄
ㄅㄧ	悂
ㄅㄧ	毴
ㄅㄧ	皀
ㄅㄧ	稫
ㄅㄧ	螕
ㄅㄧ	豍
ㄅㄧ	逼
ㄅㄧˇ	*壁
ㄅㄧˇ	*媲
ㄅㄧˇ	*毗
ㄅㄧˇ	*貔
ㄅㄧˇ	㚰
ㄅㄧˇ	仳
ㄅㄧˇ	佊
ㄅㄧˇ	匕
ㄅㄧˇ	啚
ㄅㄧˇ	夶
ㄅㄧˇ	妣
ㄅㄧˇ	屄
ㄅㄧˇ	彼
ㄅㄧˇ	朼
ㄅㄧˇ	柀
ㄅㄧˇ	比
ㄅㄧˇ	沘
ㄅㄧˇ	滗
ㄅㄧˇ	潷
ㄅㄧˇ	疕
ㄅㄧˇ	秕
ㄅㄧˇ	笔
ㄅㄧˇ	筆
ㄅㄧˇ	粃
ㄅㄧˇ	舭
ㄅㄧˇ	蚍
ㄅㄧˇ	袐
ㄅㄧˇ	豼
ㄅㄧˇ	貏
ㄅㄧˇ	鄙
ㄅㄧˇ	魮
ㄅㄧˊ	*荸
ㄅㄧˊ	*鼽
ㄅㄧˊ	鼻
ㄅㄧˋ	*佛
ㄅㄧˋ	*嫳
ㄅㄧˋ	*擘
ㄅㄧˋ	*比
ㄅㄧˋ	*毘
ㄅㄧˋ	*秘
ㄅㄧˋ	*稗
ㄅㄧˋ	*綼
ㄅㄧˋ	*薜
ㄅㄧˋ	*謐
ㄅㄧˋ	*貔
ㄅㄧˋ	*費
ㄅㄧˋ	*跛
ㄅㄧˋ	*踾
ㄅㄧˋ	*逼
ㄅㄧˋ	*鄙
ㄅㄧˋ	*髲
ㄅㄧˋ	㧙
ㄅㄧˋ	㻫
ㄅㄧˋ	䏟
ㄅㄧˋ	䠋
ㄅㄧˋ	仏
ㄅㄧˋ	佖
ㄅㄧˋ	俾
ㄅㄧˋ	吡
ㄅㄧˋ	咇
ㄅㄧˋ	啚
ㄅㄧˋ	嗶
ㄅㄧˋ	嚊
ㄅㄧˋ	坒
ㄅㄧˋ	埤
ㄅㄧˋ	堛
ㄅㄧˋ	壀
ㄅㄧˋ	壁
ㄅㄧˋ	夶
ㄅㄧˋ	妼
ㄅㄧˋ	婢
ㄅㄧˋ	嬖
ㄅㄧˋ	孹
ㄅㄧˋ	幣
ㄅㄧˋ	庇
ㄅㄧˋ	庳
ㄅㄧˋ	廦
ㄅㄧˋ	弊
ㄅㄧˋ	弻
ㄅㄧˋ	弼
ㄅㄧˋ	彃
ㄅㄧˋ	必
ㄅㄧˋ	怭
ㄅㄧˋ	怶
ㄅㄧˋ	愊
ㄅㄧˋ	愎
ㄅㄧˋ	拂
ㄅㄧˋ	敝
ㄅㄧˋ	斃
ㄅㄧˋ	朇
ㄅㄧˋ	枈
ㄅㄧˋ	柫
ㄅㄧˋ	柲
ㄅㄧˋ	梐
ㄅㄧˋ	楅
ㄅㄧˋ	毖
ㄅㄧˋ	泌
ㄅㄧˋ	湢
ㄅㄧˋ	滭
ㄅㄧˋ	煏
ㄅㄧˋ	熚
ㄅㄧˋ	狴
ㄅㄧˋ	獘
ㄅㄧˋ	獙
ㄅㄧˋ	珌
ㄅㄧˋ	璧
ㄅㄧˋ	畀
ㄅㄧˋ	畁
ㄅㄧˋ	畢
ㄅㄧˋ	疪
ㄅㄧˋ	痹
ㄅㄧˋ	痺
ㄅㄧˋ	皕
ㄅㄧˋ	睤
ㄅㄧˋ	睥
ㄅㄧˋ	碧
ㄅㄧˋ	祕
ㄅㄧˋ	稫
ㄅㄧˋ	箄
ㄅㄧˋ	箅
ㄅㄧˋ	箆
ㄅㄧˋ	篦
ㄅㄧˋ	篳
ㄅㄧˋ	粊
ㄅㄧˋ	縪
ㄅㄧˋ	繴
ㄅㄧˋ	罼
ㄅㄧˋ	聛
ㄅㄧˋ	胇
ㄅㄧˋ	腷
ㄅㄧˋ	臂
ㄅㄧˋ	芘
ㄅㄧˋ	苾
ㄅㄧˋ	菎
ㄅㄧˋ	萆
ㄅㄧˋ	蓖
ㄅㄧˋ	蓽
ㄅㄧˋ	蔽
ㄅㄧˋ	虑
ㄅㄧˋ	蜌
ㄅㄧˋ	裨
ㄅㄧˋ	襒
ㄅㄧˋ	襞
ㄅㄧˋ	襣
ㄅㄧˋ	觱
ㄅㄧˋ	詖
ㄅㄧˋ	豼
ㄅㄧˋ	貱
ㄅㄧˋ	賁
ㄅㄧˋ	贔
ㄅㄧˋ	蹕
ㄅㄧˋ	躃
ㄅㄧˋ	躄
ㄅㄧˋ	辟
ㄅㄧˋ	避
ㄅㄧˋ	邲
ㄅㄧˋ	鄨
ㄅㄧˋ	鄪
ㄅㄧˋ	鉍
ㄅㄧˋ	鎞
ㄅㄧˋ	鏎
ㄅㄧˋ	鐴
ㄅㄧˋ	鐾
ㄅㄧˋ	閇
ㄅㄧˋ	閉
ㄅㄧˋ	閟
ㄅㄧˋ	陛
ㄅㄧˋ	鞸
ㄅㄧˋ	韠
ㄅㄧˋ	飶
ㄅㄧˋ	饆
ㄅㄧˋ	馝
ㄅㄧˋ	駜
ㄅㄧˋ	驆
ㄅㄧˋ	骳
ㄅㄧˋ	髀
ㄅㄧˋ	魓
ㄅㄧˋ	鮅
ㄅㄧˋ	鰏
ㄅㄧˋ	鵖
